Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
840,0,1.97943,-9.84955,-0.887659,2.02989,-9.8877,-0.879636,2.07858,-10.0992,-0.897221,10.0465,0.660562,-3.21855,-0.286374,-0,1.5708,-0,1.5708,30.3,25583.6,1.53475,11.4294,-12.5508,731.97,207.322,267.933,403.701,25774.9,4.8721e-13,18177.9,169.62,11.045,35,7.31087,13.3109,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1230,0,1.97943,-9.84955,-0.887659,2.02989,-9.8877,-0.879636,2.38899,-11.6116,-1.03179,10.0467,0.660562,-3.21855,-0.286374,-0,1.5708,-0,1.5708,42.53,3376.07,2.27068,10.8325,-30.2354,824.216,204.175,278.065,443.579,39465.5,10.4373,31445.7,38.9976,28.3502,35,8.85777,14.8578,-6.3876e-05,0.0140421,3.13704,0,-0,-3.14159,-1,480,180,360,-1
1640,0,1.97943,-9.84955,-0.887659,1.96076,-9.86673,-0.870558,2.05072,-10.3974,-0.910299,10.0216,0.31865,-1.77841,-0.152649,-0,1.5708,-0,1.5708,50.3083,4404.62,3.04599,12.0752,-26.7328,853.787,234.613,332.318,551.177,42042.5,17.7869,35866.4,202.66,117.172,35,7.57346,13.5735,-0.000194961,0.0237808,3.1334,0,-0,-3.14159,-1,480,180,360,-1
2030,0,1.97943,-9.84955,-0.887659,1.97986,-9.84594,-0.81629,2.05432,-10.2656,-0.856925,9.96362,0.229647,-1.18302,-0.0729058,-0,1.5708,-0,1.5708,54.7609,4124.9,3.76245,11.5079,-26.0346,869.214,235.578,343.628,585.659,43901.1,16.3258,38711.2,169.271,195.247,35,7.39369,13.3937,-0.000222604,0.0203241,3.13064,0,-0,-3.14159,-1,480,180,360,-1
2430,0,1.97943,-9.84955,-0.887659,1.98327,-9.82465,-0.820307,2.03495,-10.0844,-0.837968,9.89057,0.160759,-0.777091,-0.0424458,-0,1.5708,-0,1.5708,57.254,4316.87,4.42861,11.0341,-22.5741,856.061,218.521,334.065,592.883,40481.6,13.4399,35894.7,151.564,247.62,35,7.14094,13.1409,-0.000180557,0.0136238,3.12834,0,-0,-3.14159,-1,480,180,360,-1
2830,0,1.97943,-9.84955,-0.887659,1.9961,-9.80264,-0.823273,2.02843,-9.9653,-0.834206,9.8076,0.11487,-0.496567,-0.0285923,-0,1.5708,-0,1.5708,58.791,4459.58,5.0384,10.5024,-19.8536,822.682,208.02,328.869,599.572,34084.4,13.3032,29796.2,127.692,283.005,35,6.92904,12.929,-0.00016737,0.0109294,3.12628,0,-0,-3.14159,-1,480,180,360,-1
3230,0,1.97943,-9.84955,-0.887659,2.00925,-9.77832,-0.829899,2.03663,-9.89847,-0.837014,9.71218,0.08673,-0.308847,-0.0219473,-0,1.5708,-0,1.5708,59.8493,4544.45,5.60258,9.98896,-17.825,787.329,203.401,328.048,607.259,27759.5,14.3644,24004.9,103.141,308.744,35,6.77741,12.7774,-0.000185884,0.0108052,3.12439,0,-0,-3.14159,-1,480,180,360,-1
3631,0,1.97943,-9.84955,-0.887659,2.01575,-9.76076,-0.840318,2.03104,-9.83303,-0.848699,9.61512,0.0637986,-0.191504,-0.0226973,-0,1.5708,-0,1.5708,60.3981,4624.39,6.12243,9.48459,-16.081,738.961,197.354,324.971,610.835,20540.8,15.3486,17147.2,82.391,322.531,35,6.61421,12.6142,-0.000203426,0.0108049,3.12277,0,-0,-3.14159,-1,480,180,360,-1
4030,0,1.97943,-9.84955,-0.887659,2.00979,-9.73718,-0.825628,2.01943,-9.77655,-0.834596,9.52203,0.0403363,-0.105858,-0.00728133,-0,1.5708,-0,1.5708,60.6108,4663.86,6.60922,8.98625,-14.6203,684.49,201.228,331.204,622.35,13869.2,16.5629,10774,64.1841,327.957,35,6.45279,12.4528,-0.000240662,0.0119423,3.12144,0,-0,-3.14159,-1,480,180,360,-1
4430,0,1.97943,-9.84955,-0.887659,1.99154,-9.72459,-0.832274,1.99986,-9.74717,-0.83601,9.41169,0.0172487,-0.0592541,-0.00585751,-0,1.5708,-0,1.5708,60.5165,4674.61,7.07189,8.48744,-13.3268,633.68,199.344,330.742,625.074,9021.97,16.6244,6211.91,46.8959,325.546,35,6.32189,12.3219,-0.000242654,0.0120021,3.12138,0,-0,-3.14159,-1,480,180,360,-1
4830,0,1.97943,-9.84955,-0.887659,2.01195,-9.72159,-0.835313,2.00985,-9.73255,-0.835719,9.30623,0.0204672,-0.0341955,-0.00429178,-0,1.5708,-0,1.5708,60.1358,4684.02,7.51232,7.99452,-12.1378,588.693,198.219,330.524,626.89,5794.08,16.6244,3253.74,32.5356,315.904,35,6.19076,12.1908,-0.000242654,0.0120021,3.12138,0,-0,-3.14159,-1,480,180,360,-1
5240,0,1.97943,-9.84955,-0.887659,2.01785,-9.72169,-0.842899,2.01699,-9.72696,-0.848673,9.1654,0.0215657,-0.0222848,-0.00959409,-0,1.5708,-0,1.5708,59.4916,4688.9,7.93245,7.5046,-11.0378,551.466,194.269,326.948,624.151,3849.93,16.6244,1600.83,20.8216,299.919,35,6.06163,12.0616,-0.000242654,0.0120021,3.12138,0,-0,-3.14159,-1,480,180,360,-1
5640,0,1.97943,-9.84955,-0.887659,1.9936,-9.70962,-0.84036,2.00082,-9.71846,-0.851499,8.99887,0.00485344,-0.0101356,-0.00718715,-0,1.5708,-0,1.5708,58.6095,4700.56,8.31936,7.03134,-10.0329,516.154,197.536,330.675,628.906,2501.66,16.4649,618.641,12.949,278.704,35,5.89341,11.8934,-0.000257092,0.013604,3.1227,0,-0,-3.14159,-1,480,180,360,-1
6060,0,1.97943,-9.84955,-0.887659,1.97962,-9.71282,-0.840933,1.98393,-9.71777,-0.847469,8.75963,-0.00823029,-0.00618865,-0.00128626,-0,1.5708,-0,1.5708,57.2863,4643.45,8.68283,6.5076,-9.04199,489.122,200.962,334.622,634.021,1692.36,14.6249,291.663,7.22225,248.339,35,5.65776,11.6578,-0.000212391,0.0137347,3.12613,0,-0,-3.14159,-1,480,180,360,-1
6480,0,1.97943,-9.84955,-0.887659,1.99296,-9.76304,-0.85499,1.98935,-9.75837,-0.848713,8.38006,-0.00267087,-0.0319004,-0.00228804,-0,1.5708,-0,1.5708,55.2071,4168.98,8.96824,5.85067,-8.13358,480.615,203.494,337.364,637.232,1264.47,10.5394,266.095,2.70493,204.164,35,5.33059,11.3306,-0.000104111,0.0122388,3.13309,0,-0,-3.14159,-1,480,180,360,-1
