Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_pitch,relative_yaw,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
842,0,1.97943,-9.84955,-0.887659,2.05262,-9.8877,-0.877962,2.09005,-10.0862,-0.89854,10.0465,0.692412,-3.3364,-0.296408,-0,1.5708,-0,1.5708,30.3,25583.6,1.73171,10.1813,-11.0618,733.685,209.746,270.435,406.378,94042.2,3.89768e-12,-nan,11638.4,97196.2,75,9.80048,13.3005,0,3.14159,-0,-3.14159,-1,480,180,360,-1
1242,0,1.97943,-9.84955,-0.887659,1.94784,-9.85709,-0.880123,2.11616,-10.625,-0.948163,10.0444,0.512853,-2.7309,-0.243719,-0,1.5708,-0,1.5708,46.8274,4.45246e+08,2.52617,17.3592,-17.3594,819.518,224.049,312.726,511.363,134097,79.8701,-nan,25937.4,143784,75,10.3357,13.8357,0.0223754,3.12437,-0,-3.14159,-1,480,180,360,-1
1642,0,1.97943,-9.84955,-0.887659,1.95552,-9.82376,-0.846949,2.06127,-10.4267,-0.895845,10.0014,0.34497,-1.88591,-0.147478,-0,1.5708,-0,1.5708,56.0688,1.00234e+09,3.42371,18.3632,-18.3633,829.51,229.363,337.623,580.125,136099,181.156,-nan,40196.1,189500,75,10.0839,13.5839,0.0225342,3.11377,-0,-3.14159,-1,480,180,360,-1
2052,0,1.97943,-9.84955,-0.887659,1.98718,-9.78357,-0.818641,2.06216,-10.1938,-0.858929,9.92457,0.253382,-1.22873,-0.0818597,-0,1.5708,-0,1.5708,61.6218,5.56393e+07,4.256,17.8428,-17.8439,799.267,223.098,345.168,618.605,113401,295.851,-nan,53623.5,234858,75,9.77964,13.2796,0.0195751,3.10609,-0,-3.14159,-1,480,180,360,-1
2442,0,1.97943,-9.84955,-0.887659,1.99008,-9.74584,-0.815126,2.03971,-10.0046,-0.831133,9.83496,0.172948,-0.782636,-0.0422926,-0,1.5708,-0,1.5708,64.6561,2.29578e+09,5.0226,16.6457,-16.6457,725.217,209.394,340.626,634.586,66860.1,419.813,-nan,65977.9,280072,75,9.49598,12.996,0.0141204,3.10011,-0,-3.14159,-1,480,180,360,-1
2842,0,1.97943,-9.84955,-0.887659,1.99171,-9.72719,-0.829661,2.03671,-9.89765,-0.838279,9.72396,0.121183,-0.494121,-0.0353013,-0,1.5708,-0,1.5708,67.2326,1.30449e+08,5.7845,15.628,-15.6284,641.637,192.08,331.017,642.237,31612.8,552.357,-nan,77544.3,325193,75,9.2926,12.7926,0.0107716,3.09599,-0,-3.14159,-1,480,180,360,-1
3242,0,1.97943,-9.84955,-0.887659,2.00216,-9.71572,-0.853684,2.03255,-9.82309,-0.862091,9.63039,0.0856753,-0.315803,-0.0412697,-0,1.5708,-0,1.5708,68.7369,3.27404e+08,6.54731,14.4322,-14.4323,543.547,182.561,327.128,650.958,7367.63,691.726,-nan,88348,370271,75,9.10728,12.6073,0.0115233,3.09369,-0,-3.14159,-1,480,180,360,-1
3642,0,1.97943,-9.84955,-0.887659,2.01036,-9.72063,-0.870555,2.02935,-9.7899,-0.880336,9.51276,0.0609605,-0.211011,-0.0420439,-0,1.5708,-0,1.5708,69.9447,1.85456e+07,7.4016,13.2182,-13.2201,467.143,186.14,335.573,670.304,756.823,830.159,-nan,98516.1,415323,75,8.95493,12.4549,0.0149712,3.095,-0,-3.14159,-1,480,180,360,-1
4042,0,1.97943,-9.84955,-0.887659,1.97503,-9.72831,-0.851086,1.9881,-9.77434,-0.850364,9.33785,0.0183297,-0.144927,-0.0145958,-0,1.5708,-0,1.5708,76.0204,231289,8.07791,14.2206,-14.3976,419.082,194.852,360.301,730.909,5667.88,943.911,-nan,108660,460325,75,8.78292,12.2829,0.0165957,3.10497,-0,-3.14159,-1,480,180,360,-1
4442,0,1.97943,-9.84955,-0.887659,1.9731,-9.75647,-0.833666,1.97723,-9.78465,-0.838239,9.09681,0.0065132,-0.115077,-0.00264286,-0,1.5708,-0,1.5708,71.9024,1.01861e+09,8.78876,11.7646,-11.7647,400.338,190.139,350.467,709.602,7481.3,1028.24,-nan,117766,505344,75,8.56284,12.0628,0.0112994,3.114,-0,-3.14159,-1,480,180,360,-1
