Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
841,0,1.97943,-9.84955,-0.887659,2.0466,-9.8877,-0.870351,1.88166,-9.09083,-0.800208,10.0465,0.669782,-3.23591,-0.284837,-0,1.5708,-0,1.5708,30.3,25583.6,1.53475,11.4294,-12.5508,733.399,213.763,281.097,431.925,165459,3.89768e-13,135788,264.798,66.27,35,6.28352,12.2835,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1231,0,1.97943,-9.84955,-0.887659,2.04383,-9.8877,-0.876936,2.25866,-10.9229,-0.966712,10.0448,0.712852,-3.44847,-0.305751,-0,1.5708,-0,1.5708,43.9986,4081.63,2.19733,12.3157,-31.0589,814.631,217.193,298.273,479.895,260052,14.0059,229150,173.27,242.925,35,8.15317,14.1532,-0.000302146,0.0189179,3.12562,0,-0,-3.14159,-1,480,180,360,-1
1631,0,1.97943,-9.84955,-0.887659,1.96508,-9.83417,-0.849844,2.09955,-10.5449,-0.924142,9.99185,0.432237,-2.30573,-0.195259,-0,1.5708,-0,1.5708,52.3535,4966.2,2.90531,13.683,-30.4775,814.805,231.831,331.82,555.797,250790,21.4438,227669,357.291,903.431,35,7.70564,13.7056,-0.000717214,0.026005,3.11403,0,-0,-3.14159,-1,480,180,360,-1
2031,0,1.97943,-9.84955,-0.887659,1.9813,-9.79765,-0.805697,2.07698,-10.3258,-0.854391,9.90729,0.302885,-1.54695,-0.0969926,-0,1.5708,-0,1.5708,57.6389,4957.08,3.53722,13.6333,-30.2998,788.699,233.134,346.001,598.822,214829,23.48,193609,387.972,1537.55,35,7.40456,13.4046,-0.000769773,0.0217816,3.10627,0,-0,-3.14159,-1,480,180,360,-1
2431,0,1.97943,-9.84955,-0.887659,2.01197,-9.76498,-0.818467,2.07726,-10.103,-0.841548,9.80377,0.22501,-1.00196,-0.0631318,-0,1.5708,-0,1.5708,60.3315,4960.4,4.10794,13.0679,-27.6214,720.673,209.389,331.031,603.507,137844,24.599,117550,360.044,1925.06,35,7.06758,13.0676,-0.000556427,0.013448,3.10024,0,-0,-3.14159,-1,480,180,360,-1
2831,0,1.97943,-9.84955,-0.887659,1.99698,-9.72738,-0.849647,2.05364,-9.96579,-0.862331,9.68008,0.140811,-0.611316,-0.0584414,-0,1.5708,-0,1.5708,61.1592,4948.81,4.63415,12.1833,-24.0005,634.379,198.311,324.396,606.828,65767,27.1613,49268.5,287.92,2052.91,35,6.81749,12.8175,-0.000602133,0.0130194,3.09538,0,-0,-3.14159,-1,480,180,360,-1
3231,0,1.97943,-9.84955,-0.887659,1.99643,-9.70852,-0.83695,2.02807,-9.8448,-0.850019,9.5561,0.0939195,-0.401809,-0.037935,-0,1.5708,-0,1.5708,59.904,4928.88,5.1275,10.9113,-19.5806,547.075,201.997,328.44,611.672,24323.2,28.4787,10478,188.145,1860.63,35,6.57372,12.5737,-0.000676896,0.0139856,3.09323,0,-0,-3.14159,-1,480,180,360,-1
3631,0,1.97943,-9.84955,-0.887659,2.0279,-9.71759,-0.886038,2.04092,-9.80826,-0.890014,9.40059,0.0798649,-0.269868,-0.0549694,-0,1.5708,-0,1.5708,57.3396,4834.29,5.61704,9.43316,-15.4708,476.569,196.73,320.449,597.579,10819.5,28.5413,1844.41,94.3173,1497.18,35,6.36205,12.3621,-0.000680768,0.0140364,3.09313,0,-0,-3.14159,-1,480,180,360,-1
4031,0,1.97943,-9.84955,-0.887659,1.97467,-9.72426,-0.866065,1.99746,-9.78247,-0.873478,9.10236,0.0317131,-0.189902,-0.0326581,-0,1.5708,-0,1.5708,53.9875,4277.75,6.15229,7.76472,-12.19,441.008,234.327,355.038,625.431,11945.2,24.5732,5992.42,29.9051,1081.58,35,6.03541,12.0354,-0.000677791,0.0169363,3.1016,0,-0,-3.14159,-1,480,180,360,-1
4431,0,1.97943,-9.84955,-0.887659,1.98248,-9.74752,-0.863517,1.98112,-9.77646,-0.871919,8.51245,0.012932,-0.138316,-0.0233022,-0,1.5708,-0,1.5708,51.6235,5046.34,6.49109,7.06812,-9.81859,421.081,228.424,352.047,628.962,14035.4,18.2012,9351.05,26.5259,829.02,35,5.43944,11.4394,-0.000115388,0.00360762,3.10962,0,-0,-3.14159,-1,480,180,360,-1
