Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d,drone_x,drone_y,drone_z
612.33,0,1.97943,-9.84955,-0.887659,0,0,0,2.0281,-10.0979,-0.820984,10.0465,0,0,0,-0,1.5708,-0,1.5708,35,100000,22,1.11243,-1.11491,764.023,473.928,543.95,700.799,637235,4.8721e-13,50225.1,382.802,108112,500,7.29953,13.2995,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
1012.33,0,1.97943,-9.84955,-0.887659,0,0,0,2.02465,-10.0963,-0.820849,10.0465,0,0,0,-0,1.5708,-0,1.5708,30.8084,5234.58,21.1268,0.883873,-0.914765,729.622,449.551,511.196,649.282,599033,4.8721e-13,39457.2,411.322,110070,500,7.29731,13.2973,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
1412.33,0,1.97943,-9.84955,-0.887659,0,0,0,2.0274,-10.0959,-0.820807,10.0465,0,0,0,-0,1.5708,-0,1.5708,38.0058,5272.21,20.3737,1.38177,-1.4582,788.368,491.513,567.563,737.916,594408,4.8721e-13,58803.4,349.95,106719,500,7.29742,13.2974,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
1812.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.0296,-10.0957,-0.820786,10.0465,0,0,0,-0,1.5708,-0,1.5708,45.4551,5267.84,19.7169,2.01729,-2.18461,849.219,534.94,625.898,829.645,599918,4.8721e-13,83251.6,278.822,103306,500,7.29765,13.2977,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
2412.35,0,1.97943,-9.84955,-0.887659,0,0,0,2.0333,-10.0955,-0.820772,10.0465,0,0,0,-0,1.5708,-0,1.5708,52.82,5259.5,19.139,2.76495,-3.08981,909.83,577.874,683.572,920.334,621388,4.8721e-13,111939,205.507,99985,500,7.29824,13.2982,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
2612.35,0,1.97943,-9.84955,-0.887659,0,0,0,2.03358,-10.0954,-0.820762,10.0465,0,0,0,-0,1.5708,-0,1.5708,59.7551,5247.16,18.6274,3.57651,-4.14102,966.337,618.303,737.879,1005.73,647128,4.8721e-13,142857,138.509,96907.8,500,7.2982,13.2982,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
3012.33,0,1.97943,-9.84955,-0.887659,0,0,0,2.03153,-10.0954,-0.820755,10.0465,0,0,0,-0,1.5708,-0,1.5708,66.0178,5231.78,18.1721,4.39894,-5.28822,1016.77,654.811,786.921,1082.85,674823,4.8721e-13,173957,84.0297,94170.3,500,7.29773,13.2977,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
3412.36,0,1.97943,-9.84955,-0.887659,0,0,0,2.02567,-10.0953,-0.820751,10.0465,0,0,0,-0,1.5708,-0,1.5708,71.2894,5214.79,17.7645,5.1623,-6.43668,1057.96,685.542,828.201,1147.76,701077,4.8721e-13,202206,45.5492,91896.4,500,7.29653,13.2965,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
3812.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.02712,-10.0953,-0.820748,10.0465,0,0,0,-0,1.5708,-0,1.5708,75.3031,5198.96,17.3972,5.80002,-7.46581,1090.94,708.94,859.632,1197.18,723503,4.8721e-13,225664,22.4031,90183.7,500,7.29678,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
4212.34,0,1.97943,-9.84955,-0.887659,0,0,0,2.02167,-10.0953,-0.820746,10.0465,0,0,0,-0,1.5708,-0,1.5708,78.0605,5185.97,17.0637,6.28573,-8.29705,1111.61,725.014,881.224,1231.13,739246,4.8721e-13,241912,10.2002,89016.5,500,7.29569,13.2957,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
4612.36,0,1.97943,-9.84955,-0.887659,0,0,0,2.02114,-10.0952,-0.820744,10.0465,0,0,0,-0,1.5708,-0,1.5708,79.8443,5175.63,16.7591,6.6418,-8.93504,1125.88,735.413,895.193,1253.1,750130,4.8721e-13,253018,4.27423,88265.4,500,7.29558,13.2956,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
5012.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.02323,-10.0952,-0.820743,10.0465,0,0,0,-0,1.5708,-0,1.5708,80.9629,5167.35,16.4795,6.90328,-9.42026,1135.6,741.934,903.952,1266.87,757398,4.8721e-13,260366,1.54215,87796.1,500,7.29598,13.296,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
5412.31,0,1.97943,-9.84955,-0.887659,0,0,0,2.03282,-10.0952,-0.820743,10.0465,0,0,0,-0,1.5708,-0,1.5708,81.6593,5160.62,16.2219,7.10116,-9.79748,1144.38,745.993,909.406,1275.45,762938,4.8721e-13,265898,0.386922,87504.5,500,7.29786,13.2979,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
5812.31,0,1.97943,-9.84955,-0.887659,0,0,0,2.02818,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.0789,5154.86,15.9838,7.25481,-10.0968,1146.27,748.44,912.692,1280.62,765144,4.8721e-13,268126,0.0177566,87329,500,7.29694,13.2969,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
6212.38,0,1.97943,-9.84955,-0.887659,0,0,0,2.0275,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.3348,5149.63,15.7633,7.38009,-10.3453,1148.12,749.932,914.696,1283.77,766740,4.8721e-13,269723,0.0693549,87222.1,500,7.29681,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
6612.35,0,1.97943,-9.84955,-0.887659,0,0,0,2.0274,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.4856,5144.89,15.5587,7.48549,-10.5576,1149.31,750.811,915.877,1285.62,767733,4.8721e-13,270700,0.356089,87159.1,500,7.29679,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
7012.31,0,1.97943,-9.84955,-0.887659,0,0,0,2.02739,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.5668,5140.62,15.3685,7.57631,-10.7429,1149.97,751.284,916.513,1286.62,768284,4.8721e-13,271232,0.781359,87125.2,500,7.29678,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
7412.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.0274,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.6038,5136.61,15.1915,7.6564,-10.9083,1150.27,751.5,916.802,1287.08,768547,4.8721e-13,271474,1.29327,87109.8,500,7.29678,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
7812.33,0,1.97943,-9.84955,-0.887659,0,0,0,2.02369,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.6126,5132.81,15.0265,7.72836,-11.0585,1149.11,751.552,916.872,1287.19,768197,4.8721e-13,271122,1.86891,87106.1,500,7.29605,13.2961,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
8212.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.02122,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.6075,5129.11,14.8727,7.79447,-11.1978,1148.25,751.521,916.831,1287.13,768048,4.8721e-13,270815,2.48909,87108.3,500,7.29557,13.2956,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
8612.34,0,1.97943,-9.84955,-0.887659,0,0,0,2.02483,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.5928,5125.57,14.7292,7.8556,-11.3279,1149.33,751.436,916.716,1286.94,768240,4.8721e-13,271118,3.12844,87114.4,500,7.29628,13.2963,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
9012.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.02747,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.5666,5122.28,14.5951,7.91159,-11.448,1149.99,751.283,916.512,1286.62,768393,4.8721e-13,271239,3.77975,87125.3,500,7.2968,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
9412.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.02575,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.5346,5119.12,14.4698,7.96344,-11.5601,1149.16,751.096,916.26,1286.23,768003,4.8721e-13,270839,4.44867,87138.7,500,7.29646,13.2965,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
9812.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.03131,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.5036,5116.02,14.3527,8.0124,-11.6668,1150.74,750.916,916.018,1285.85,768453,4.8721e-13,271250,5.11007,87151.6,500,7.29755,13.2976,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
10212.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02824,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.4684,5113.15,14.2432,8.05781,-11.7663,1149.45,750.712,915.744,1285.41,767888,4.8721e-13,270680,5.78913,87166.3,500,7.29695,13.2969,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
