Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
842,0,1.97943,-9.84955,-0.887659,1.99972,-9.8877,-0.86617,1.83027,-9.04987,-0.792776,10.0465,0.648273,-3.20542,-0.280797,-0,1.5708,-0,1.5708,35,122671,20.05,1.22075,-1.22318,766,205.348,283.478,458.49,31717.1,4.8721e-13,22073.5,251.236,0,35,6.2331,12.2331,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1232,0,1.97943,-9.84955,-0.887659,1.99514,-9.8827,-0.90346,2.14272,-10.608,-0.95885,10.0493,0.646895,-3.20676,-0.298487,-0,1.5708,-0,1.5708,35,99458.1,19.9925,1.22398,-1.227,761.463,214.391,280.982,430.144,32653.8,8.85541,21662,435.824,0,35,7.82568,13.8257,-3.0317e-05,0.0122776,3.13912,0,-0,-3.14159,-1,480,180,360,-1
1632,0,1.97943,-9.84955,-0.887659,2.00348,-9.87682,-0.88519,2.16859,-10.6998,-0.96351,10.0337,0.463774,-2.27387,-0.20835,-0,1.5708,-0,1.5708,35,99990.1,19.9999,1.22354,-1.22654,755.962,234.028,300.071,448.006,30768.3,15.2312,20666.3,446.531,0,35,7.90584,13.9058,-0.000104308,0.0209573,3.13662,0,-0,-3.14159,-1,480,180,360,-1
2032,0,1.97943,-9.84955,-0.887659,2.00039,-9.86951,-0.856385,2.1054,-10.3612,-0.907855,9.99907,0.328524,-1.59818,-0.129338,-0,1.5708,-0,1.5708,35,99999.9,20,1.22353,-1.22653,748.23,239.999,308.357,461.478,29152,15.8671,19553.6,397.171,0,35,7.52569,13.5257,-0.000145731,0.021379,3.13478,0,-0,-3.14159,-1,480,180,360,-1
2432,0,1.97943,-9.84955,-0.887659,2.00683,-9.85552,-0.84673,2.08109,-10.2154,-0.88002,9.94042,0.218692,-1.04629,-0.0729847,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,736.78,238.724,308.355,464.329,26522.4,15.1141,18012.9,371.499,0,35,7.31861,13.3186,-0.000170603,0.019502,3.13285,0,-0,-3.14159,-1,480,180,360,-1
2832,0,1.97943,-9.84955,-0.887659,1.99717,-9.83871,-0.844056,2.04554,-10.0669,-0.861143,9.84292,0.138787,-0.678776,-0.0415295,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,719.323,233.999,305.218,464.747,23624.4,13.4177,15798.1,341.59,0,35,7.0681,13.0681,-0.000164129,0.0159374,3.1313,0,-0,-3.14159,-1,480,180,360,-1
3232,0,1.97943,-9.84955,-0.887659,2.00115,-9.81837,-0.872631,2.036,-9.97663,-0.881302,9.7256,0.0916715,-0.423957,-0.0428994,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,702.876,227.204,299.792,462.387,21170.5,13.0468,13881.8,317.72,0,35,6.8602,12.8602,-0.000166122,0.0143978,3.13006,0,-0,-3.14159,-1,480,180,360,-1
3632,0,1.97943,-9.84955,-0.887659,2.01519,-9.81667,-0.858552,2.03301,-9.90715,-0.864257,9.57998,0.0673931,-0.274055,-0.0220188,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,685.222,229.948,304.018,469.936,18662.3,14.1888,11936.3,293.897,0,35,6.64476,12.6448,-0.000196705,0.0156248,3.129,0,-0,-3.14159,-1,480,180,360,-1
4032,0,1.97943,-9.84955,-0.887659,2.00018,-9.79613,-0.85103,2.01345,-9.85422,-0.85599,9.36557,0.0389318,-0.173923,-0.0113559,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,663.834,228.522,304.346,474.193,15954.3,13.7299,9811.66,268.222,0,35,6.40254,12.4025,-0.000186305,0.0147376,3.12895,0,-0,-3.14159,-1,480,180,360,-1
4432,0,1.97943,-9.84955,-0.887659,1.99978,-9.78797,-0.865822,2.0063,-9.82627,-0.87143,9.12296,0.0244176,-0.10955,-0.0176914,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,638.344,224.506,302.658,477.719,13117.5,13.7029,7585.43,238.083,0,35,6.1029,12.1029,-0.000185669,0.0146873,3.12895,0,-0,-3.14159,-1,480,180,360,-1
4832,0,1.97943,-9.84955,-0.887659,1.99743,-9.76456,-0.849679,2.0009,-9.78856,-0.854819,8.8264,0.0148597,-0.0559404,-0.00188647,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,614.026,227.609,308.607,490.042,10473.2,14.5625,5717.71,206.474,0,35,5.76747,11.7675,-0.000205518,0.0162576,3.12895,0,-0,-3.14159,-1,480,180,360,-1
5232,0,1.97943,-9.84955,-0.887659,1.99592,-9.75064,-0.853193,2.00055,-9.76409,-0.854028,8.44172,0.0103873,-0.0249514,-0.000776224,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,586.525,223.09,307.92,497.938,7855.23,13.5893,3979.15,170.931,0,35,5.35792,11.3579,-0.000182982,0.0144748,3.12895,0,-0,-3.14159,-1,480,180,360,-1
5632,0,1.97943,-9.84955,-0.887659,2.00105,-9.76074,-0.827985,2.00291,-9.7618,-0.828209,8.01069,0.00926791,-0.017887,0.0162166,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,559.33,225.216,314.58,514.756,5597.82,13.5371,2600.19,136.924,0,35,4.92386,10.9239,-0.000181741,0.0143766,3.12895,0,-0,-3.14159,-1,480,180,360,-1
6032,0,1.97943,-9.84955,-0.887659,1.99945,-9.73786,-0.85372,2.00224,-9.74686,-0.852259,7.52404,0.00621144,-0.00228498,-0.00320352,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,534.897,213.241,308.572,522.112,3804.53,10.8641,1690.87,102.312,0,35,4.42216,10.4222,-0.000117799,0.0111956,3.13107,0,-0,-3.14159,-1,480,180,360,-1
6442,0,1.97943,-9.84955,-0.887659,1.97881,-9.74222,-0.835412,1.97992,-9.7419,-0.838294,6.94351,-0.010338,0.00154881,0.00723901,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,504.883,218.105,321.555,553.284,2162.96,12.7045,887.286,68.2006,0,35,3.83506,9.83506,-0.000132046,0.0159438,3.13331,0,-0,-3.14159,-1,480,180,360,-1
6852,0,1.97943,-9.84955,-0.887659,1.99046,-9.72451,-0.835604,1.98794,-9.72315,-0.833185,6.24454,-0.00262423,0.0126701,0.00840022,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,488.168,207.258,320.523,574.237,1313.04,8.7681,592.035,40.7543,0,35,3.2423,9.2423,-4.92594e-05,0.0116578,3.13737,0,-0,-3.14159,-1,480,180,360,-1
