Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
841,0,1.97943,-9.84955,-0.887659,2.05284,-9.8877,-0.89254,1.89653,-9.13481,-0.824579,10.0465,0.70816,-3.41092,-0.307896,-0,1.5708,-0,1.5708,30.3,25583.6,1.53475,11.4294,-12.5508,734.172,210.899,277.909,428.011,26082.9,4.8721e-13,18074.3,260.076,66.27,35,6.3296,12.3296,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1231,0,1.97943,-9.84955,-0.887659,2.05284,-9.8877,-0.89254,2.25182,-10.8461,-0.979051,10.047,0.70816,-3.41092,-0.307896,-0,1.5708,-0,1.5708,39.5904,3451.56,2.26935,9.87284,-23.0717,804.733,209.164,282.816,447.797,36043.6,9.83039,28064.8,32.1506,63.2146,35,8.07978,14.0798,-5.15573e-05,0.0133556,3.13773,0,-0,-3.14159,-1,480,180,360,-1
1631,0,1.97943,-9.84955,-0.887659,1.96197,-9.86853,-0.853354,2.10161,-10.5973,-0.91709,10.0213,0.48178,-2.54938,-0.209918,-0,1.5708,-0,1.5708,42.8011,4845.66,2.97195,9.8342,-16.553,803.906,233.2,314.796,497.571,35624.9,15.0321,27447.2,42.2382,182.57,35,7.77901,13.779,-0.000136554,0.0201493,3.13482,0,-0,-3.14159,-1,480,180,360,-1
2031,0,1.97943,-9.84955,-0.887659,1.99588,-9.85519,-0.86155,2.10255,-10.4215,-0.915153,9.96534,0.356519,-1.77054,-0.151988,-0,1.5708,-0,1.5708,43.8002,5029.76,3.56328,8.87512,-13.7153,802.052,231.43,316.59,507.348,34599.2,15.8661,27061.8,17.3233,232.329,35,7.55894,13.5589,-0.000188142,0.0204685,3.1324,0,-0,-3.14159,-1,480,180,360,-1
2431,0,1.97943,-9.84955,-0.887659,2.00305,-9.83213,-0.835571,2.08138,-10.22,-0.872344,9.89251,0.248284,-1.17054,-0.083066,-0,1.5708,-0,1.5708,44.3328,5138.56,4.06232,8.14844,-11.933,785.418,232.576,320.983,519.013,31212.7,15.9036,24391.7,7.63105,261.302,35,7.27488,13.2749,-0.000221024,0.0193866,3.13019,0,-0,-3.14159,-1,480,180,360,-1
2831,0,1.97943,-9.84955,-0.887659,2.01538,-9.81709,-0.834267,2.06979,-10.0729,-0.852625,9.80004,0.175035,-0.765179,-0.0482177,-0,1.5708,-0,1.5708,44.6192,5184.49,4.49424,7.5719,-10.6963,764.028,228.504,319.428,523.099,27030.6,14.7911,21167.6,2.8858,277.587,35,7.0347,13.0347,-0.000214886,0.0161177,3.12826,0,-0,-3.14159,-1,480,180,360,-1
3231,0,1.97943,-9.84955,-0.887659,2.00253,-9.79193,-0.835984,2.04269,-9.95991,-0.850097,9.68054,0.110739,-0.489431,-0.0330129,-0,1.5708,-0,1.5708,44.7854,5212.29,4.87035,7.11759,-9.79181,732.588,220.496,313.692,522.451,22501.3,13.9517,16896.3,0.999685,287.261,35,6.80141,12.8014,-0.000192662,0.0129191,3.12668,0,-0,-3.14159,-1,480,180,360,-1
3631,0,1.97943,-9.84955,-0.887659,2.0065,-9.77174,-0.84472,2.02801,-9.87965,-0.850944,9.55988,0.0725869,-0.307858,-0.0250746,-0,1.5708,-0,1.5708,44.7783,5230.95,5.19798,6.72811,-9.05828,701.48,217.959,312.926,525.654,18280.2,14.5642,13177.6,0.175028,286.846,35,6.59581,12.5958,-0.000206306,0.0127594,3.12543,0,-0,-3.14159,-1,480,180,360,-1
4031,0,1.97943,-9.84955,-0.887659,2.00408,-9.764,-0.838373,2.02139,-9.83134,-0.84217,9.4095,0.0487939,-0.195211,-0.0131464,-0,1.5708,-0,1.5708,44.688,5247.29,5.48153,6.40252,-8.4693,673.438,217.987,314.413,530.409,14902.1,14.5986,10234.9,0.00161966,281.572,35,6.41525,12.4153,-0.000207097,0.0127594,3.12536,0,-0,-3.14159,-1,480,180,360,-1
4431,0,1.97943,-9.84955,-0.887659,2.00379,-9.744,-0.837514,2.01548,-9.79196,-0.840657,9.2477,0.03184,-0.116891,-0.00863163,-0,1.5708,-0,1.5708,44.5383,5262.29,5.72427,6.12853,-7.98945,643.422,216.758,314.778,534.341,11748.5,14.5986,7525.78,0.0773469,272.939,35,6.21647,12.2165,-0.000207097,0.0127594,3.12536,0,-0,-3.14159,-1,480,180,360,-1
