Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
831,0,1.97943,-9.84955,-0.887659,1.99272,-9.8877,-0.863741,2.03513,-10.0875,-0.880773,10.0465,0.674138,-3.34441,-0.292128,-0,1.5708,-0,1.5708,35,122671,20.05,1.22075,-1.22318,765.3,202.606,272.7,429.71,33317.6,4.8721e-13,22382.1,368.447,0,35,7.29073,13.2907,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1231,0,1.97943,-9.84955,-0.887659,2.00079,-9.87792,-0.897755,2.15986,-10.6589,-0.9673,10.0491,0.538913,-2.64844,-0.253613,-0,1.5708,-0,1.5708,35,100000,19.9975,1.22368,-1.22669,762.105,218.817,285.086,433.528,32857.9,9.67201,21675.6,442.934,0,35,7.87901,13.879,-3.48372e-05,0.0134301,3.139,0,-0,-3.14159,-1,480,180,360,-1
1631,0,1.97943,-9.84955,-0.887659,2.01278,-9.87093,-0.878119,2.12193,-10.4156,-0.931039,10.0372,0.384068,-1.84887,-0.166148,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,757.507,239.939,307.767,459.7,30782.4,15.4425,20832.9,409.273,0,35,7.62097,13.621,-0.000108743,0.0212299,3.13647,0,-0,-3.14159,-1,480,180,360,-1
2031,0,1.97943,-9.84955,-0.887659,2.00364,-9.87079,-0.860289,2.10644,-10.3606,-0.908801,10.0029,0.313185,-1.5215,-0.124468,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,747.629,241.363,309.695,462.76,29092.6,14.877,19480.3,397.607,0,35,7.52914,13.5291,-0.00014381,0.0197372,3.13431,0,-0,-3.14159,-1,480,180,360,-1
2431,0,1.97943,-9.84955,-0.887659,2.00972,-9.84765,-0.907336,2.0628,-10.1229,-0.926811,9.94034,0.171559,-0.81225,-0.0907254,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,736.048,232.765,302.973,460.239,26512.9,13.9781,17899.2,361.168,0,35,7.23326,13.2333,-0.000160728,0.0175062,3.13241,0,-0,-3.14159,-1,480,180,360,-1
2831,0,1.97943,-9.84955,-0.887659,2.00466,-9.83706,-0.862099,2.03644,-9.99248,-0.870995,9.85545,0.110942,-0.521235,-0.0308217,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,718.995,238.292,309.948,470.46,23601.8,14.4944,15755.4,334.354,0,35,7.00587,13.0059,-0.000188632,0.0173937,3.13075,0,-0,-3.14159,-1,480,180,360,-1
3231,0,1.97943,-9.84955,-0.887659,2.00441,-9.82144,-0.853837,2.0243,-9.92473,-0.86313,9.73539,0.0727477,-0.333558,-0.016806,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,702.896,232.263,305.057,468.115,21175.3,12.7023,13858.3,314.59,0,35,6.83236,12.8324,-0.000160502,0.0133343,3.12956,0,-0,-3.14159,-1,480,180,360,-1
3631,0,1.97943,-9.84955,-0.887659,1.99797,-9.80305,-0.846979,2.02663,-9.90552,-0.857725,9.59238,0.0446202,-0.201307,-0.00368856,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,684.166,231.558,305.548,471.286,18697.1,12.6185,11826.8,294.955,0,35,6.65451,12.6545,-0.000158697,0.0131207,3.1295,0,-0,-3.14159,-1,480,180,360,-1
4031,0,1.97943,-9.84955,-0.887659,1.99126,-9.797,-0.860489,1.99931,-9.84709,-0.820386,9.40992,0.0218434,-0.123695,-0.0037172,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,661.985,234.281,310.04,479.74,15855,12.0253,9640.22,268.937,0,35,6.40945,12.4094,-0.000144595,0.0119547,3.1295,0,-0,-3.14159,-1,480,180,360,-1
4431,0,1.97943,-9.84955,-0.887659,1.99507,-9.77277,-0.844865,1.9989,-9.80628,-0.856668,9.1692,0.0171416,-0.0684477,-0.000673593,-0,1.5708,-0,1.5708,35,100000,20,1.22353,-1.22653,640.189,222.329,300.28,474.889,13283.8,10.3843,7754.69,240.581,0,35,6.12844,12.1284,-0.000100744,0.00832913,3.1295,0,-0,-3.14159,-1,480,180,360,-1
