Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
845,0,1.97943,-9.84955,-0.887659,2.04567,-9.8877,-0.877433,1.88539,-9.11297,-0.808684,10.0465,0.695592,-3.36212,-0.298354,-0,1.5708,-0,1.5708,30.3,25583.6,1.53475,11.4294,-12.5508,733.285,212.924,280.094,430.556,25138.3,4.8721e-13,17905.5,262.494,11.045,35,6.30596,12.306,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1
1235,0,1.97943,-9.84955,-0.887659,2.03289,-9.88721,-0.867071,2.27829,-11.0617,-0.973257,10.0451,0.72981,-3.54874,-0.311342,-0,1.5708,-0,1.5708,42.3984,2866.14,2.29396,10.1413,-34.6905,823.583,207.759,285.095,458.329,39027.1,9.76745,31107.7,34.0873,27.3685,35,8.29504,14.295,-5.82295e-05,0.0130757,3.13714,0,-0,-3.14159,-1,480,180,360,-1
1635,0,1.97943,-9.84955,-0.887659,1.92137,-9.86806,-0.869331,2.07397,-10.6481,-0.938505,10.0193,0.412725,-2.33486,-0.20544,-0,1.5708,-0,1.5708,50.0289,4258.06,3.08199,11.7668,-26.3052,847.023,227.579,322.475,535.04,40533.1,16.4015,34594.5,155.605,112.934,35,7.82211,13.8221,-0.000175007,0.0217554,3.13355,0,-0,-3.14159,-1,480,180,360,-1
2035,0,1.97943,-9.84955,-0.887659,1.97376,-9.85011,-0.812411,2.06685,-10.4066,-0.866179,9.96131,0.303983,-1.58243,-0.105438,-0,1.5708,-0,1.5708,54.8491,4211.02,3.80736,11.5013,-25.3473,864.669,232.761,339.6,578.918,43161.9,15.8602,37792.6,158.159,196.994,35,7.52442,13.5244,-0.000212138,0.0196643,3.13081,0,-0,-3.14159,-1,480,180,360,-1
2435,0,1.97943,-9.84955,-0.887659,1.99673,-9.82946,-0.814506,2.05765,-10.1705,-0.842653,9.88942,0.231783,-1.08168,-0.0658852,-0,1.5708,-0,1.5708,57.5135,4352.37,4.46737,11.0598,-22.4893,857.294,219.356,334.537,592.544,41290.4,13.7528,36137.1,147.557,253.429,35,7.21848,13.2185,-0.000188391,0.0143486,3.12846,0,-0,-3.14159,-1,480,180,360,-1
2835,0,1.97943,-9.84955,-0.887659,1.99943,-9.80551,-0.825066,2.04452,-10.0216,-0.836367,9.792,0.160253,-0.688361,-0.0439612,-0,1.5708,-0,1.5708,59.1527,4470.78,5.07276,10.5527,-19.9891,827.12,210.496,331.476,602.472,35022,13.8289,30559,127.602,291.678,35,6.98059,12.9806,-0.000186207,0.0121511,3.12627,0,-0,-3.14159,-1,480,180,360,-1
3235,0,1.97943,-9.84955,-0.887659,1.99622,-9.77643,-0.813063,2.0281,-9.92005,-0.827438,9.70348,0.103342,-0.422415,-0.0246946,-0,1.5708,-0,1.5708,60.1391,4553.94,5.63196,10.0282,-17.9208,782.323,204.966,330.15,610.563,27150,14.3337,23228.4,105.543,315.988,35,6.77943,12.7794,-0.000183304,0.0106131,3.12432,0,-0,-3.14159,-1,480,180,360,-1
3635,0,1.97943,-9.84955,-0.887659,2.00735,-9.75774,-0.828526,2.03107,-9.85344,-0.838991,9.59662,0.0772856,-0.265568,-0.0243274,-0,1.5708,-0,1.5708,60.6816,4604.93,6.15361,9.50878,-16.1985,737.827,198.878,327.019,614.055,20503.8,15.3116,16979.7,83.5099,329.773,35,6.61897,12.619,-0.000199348,0.0105372,3.12268,0,-0,-3.14159,-1,480,180,360,-1
4035,0,1.97943,-9.84955,-0.887659,1.98923,-9.734,-0.836354,2.00992,-9.80074,-0.843976,9.50053,0.0416789,-0.157786,-0.0199494,-0,1.5708,-0,1.5708,60.8678,4652.31,6.64049,9.00916,-14.704,677.828,195.027,325.5,617.759,13216.3,16.1661,10138,65.2623,334.571,35,6.45451,12.4545,-0.000213808,0.0105369,3.1213,0,-0,-3.14159,-1,480,180,360,-1
4435,0,1.97943,-9.84955,-0.887659,1.99757,-9.72897,-0.818635,2.00894,-9.76368,-0.826582,9.40234,0.0303591,-0.0950079,-0.00297899,-0,1.5708,-0,1.5708,60.5983,4658.97,7.10403,8.4696,-13.3082,631.903,200.782,332.401,627.228,8895.47,16.5811,6067.04,46.2768,327.636,35,6.3184,12.3184,-0.000236936,0.0116378,3.12124,0,-0,-3.14159,-1,480,180,360,-1
4835,0,1.97943,-9.84955,-0.887659,1.98796,-9.71659,-0.834353,1.99599,-9.73489,-0.834098,9.28563,0.0150361,-0.0550615,-0.00733204,-0,1.5708,-0,1.5708,60.1931,4681.95,7.54314,7.97942,-12.1058,581.221,197.645,330.337,627.566,5374.67,16.6015,2859.21,32.6835,317.346,35,6.17156,12.1716,-0.000238116,0.0116958,3.12124,0,-0,-3.14159,-1,480,180,360,-1
5235,0,1.97943,-9.84955,-0.887659,2.00829,-9.7185,-0.840691,2.01233,-9.73049,-0.841113,9.14832,0.0210292,-0.0346964,-0.00990314,-0,1.5708,-0,1.5708,59.4146,4664.14,7.96757,7.45426,-10.9564,547.84,195.563,328.264,625.515,3691.48,16.6015,1462.9,19.7734,298.036,35,6.04808,12.0481,-0.000238116,0.0116958,3.12124,0,-0,-3.14159,-1,480,180,360,-1
5645,0,1.97943,-9.84955,-0.887659,1.98837,-9.70709,-0.849146,1.99521,-9.71617,-0.860001,8.98461,0.00390634,-0.0159651,-0.0175556,-0,1.5708,-0,1.5708,58.5305,4694.78,8.36333,6.98256,-9.93903,509.53,193.713,327.299,626.533,2352.34,16.2065,532.341,12.795,276.843,35,5.85141,11.8514,-0.00024461,0.0129212,3.12266,0,-0,-3.14159,-1,480,180,360,-1
6068,0,1.97943,-9.84955,-0.887659,1.98995,-9.7407,-0.850407,1.99456,-9.74178,-0.856452,8.69443,0.00185309,-0.0289675,-0.0103112,-0,1.5708,-0,1.5708,57.017,4570.45,8.73133,6.41006,-8.90906,489.504,202.522,335.933,634.771,1652.97,14.9307,294.205,6.03727,242.374,35,5.63307,11.6331,-0.00022291,0.0149979,3.12673,0,-0,-3.14159,-1,480,180,360,-1
