Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
430.335,0,0.5,0.8,0.9,-15.633,-0.98,0,0,0,0,-18.1032,0,18.1032,0,-1.4,0,0,-5,0,-0,-3.14159,-0,-1.5708,0,1e+06,22,1.11351,-1.11375,0,0,561.413,473.526,210123,259428,128938,0,0,35,18.1032,18.1032,0,0,0,0,-0,0.785398,30,480,180,360,360
822.324,0,0.5,0.8,0.9,-16.2362,-0.98,0.687804,-12.717,-0.849974,0.7116,-13.6707,-0.89794,13.8491,0,-1.6528,0,0.159253,-3.59167,-0.179922,-0,-3.14159,0.0500034,-1.52649,0,449093,20.5855,3.86152,-3.86817,564,215,558.143,512.523,486355,735352,292924,0,0,35,13.8491,13.8491,0.00168224,0.0852913,0.047616,0,0.0500034,0.785398,30,480,180,360,360
1222.32,0,0.5,0.8,0.9,-16.9489,-0.98,0.734033,-13.3336,-0.924905,0.779908,-14.0318,-0.940388,15.1626,0,-1.9088,0,0.155096,-2.98285,-0.172892,-0,-3.14159,0.0578194,-1.51885,0,191035,19.3565,3.57286,-3.58627,574,210,590.199,558.896,435356,1.16829e+06,482549,0,0,35,15.1626,15.1626,0.00315835,0.0801705,0.140354,0,0.0578194,0.785398,30,480,180,360,360
1622.33,0,0.5,0.8,0.9,-17.7639,-0.98,1.24487,-14.0533,-0.879598,1.27489,-14.6222,-0.922163,17.4886,0,-2.1648,0,0.433428,-2.60789,-0.113365,-0,-3.14159,0.0428557,-1.4061,0,85003,18.3669,3.86527,-3.90075,526,253,402.724,495.643,297207,1.47605e+06,634902,0,0,35,17.4886,17.4886,0.012876,0.0929872,0.251201,-1.73632e-18,0.0428557,0.785398,30,480,180,360,360
2022.34,0,0.5,0.8,0.9,-18.6814,-0.98,1.5138,-14.9682,-0.966918,1.63024,-15.4716,-0.978464,21.0639,0,-2.4208,0,0.542587,-2.48598,-0.125373,-0,-3.14159,0.0492324,-1.35591,0,41505.6,17.5842,4.35685,-4.45028,398,226,380.781,435.759,210305,1.61968e+06,814808,0,0,35,21.0639,21.0639,0.0208698,0.101598,0.378907,-3.47366e-18,0.0492324,0.785398,30,480,180,360,360
2422.33,0,0.5,0.8,0.9,-19.7012,-0.98,1.94186,-16.14,-1.10074,2.03184,-16.6258,-1.12497,25.0012,0,-2.6768,0,0.67592,-2.59947,-0.191297,-0,-3.14159,0.0711025,-1.31641,0,23661.7,16.9744,5.1982,-5.4371,347,201,271.391,400.381,308024,1.71013e+06,1.1725e+06,0,0,35,25.0012,25.0012,0.0257327,0.122344,0.464996,3.47824e-18,0.0711025,0.785398,30,480,180,360,360
2822.34,0,0.5,0.8,0.9,-20.8234,-0.98,1.96257,-17.4812,-1.18064,2.1094,-18.0116,-1.22273,28.3975,0,-2.9328,0,0.53884,-2.83246,-0.20427,-0,-3.14159,0.0707287,-1.38281,0,16341.7,16.504,6.38082,-6.92133,256,207,235.94,430.447,367531,1.90754e+06,1.61882e+06,0,0,35,28.3975,28.3975,0.0238453,0.118585,0.461915,3.47814e-18,0.0707287,0.785398,30,480,180,360,360
3222.34,0,0.5,0.8,0.9,-22.0481,-0.98,2.23396,-18.8359,-1.23663,2.34376,-19.4023,-1.28309,30.4991,0,-3.1888,0,0.550953,-3.00986,-0.187254,-0,-3.14159,0.0611204,-1.38975,0,13338.7,16.1437,7.27379,-8.1642,245,247,236.974,486.398,302586,2.24469e+06,2.00484e+06,0,0,35,30.4991,30.4991,0.028261,0.112343,0.503743,-3.47594e-18,0.0611204,0.785398,30,480,180,360,360
3622.36,0,0.5,0.8,0.9,-23.3751,-0.98,2.23134,-20.2016,-1.40201,2.34167,-20.803,-1.42389,31.7838,0,-3.4448,0,0.397547,-3.14571,-0.239134,-0,-3.14159,0.0752768,-1.44509,0,12106.9,15.8688,7.62071,-8.71826,269,283,278.645,489.224,203038,2.71246e+06,2.28814e+06,0,0,35,31.7838,31.7838,0.0332878,0.137846,0.488311,-3.4793e-18,0.0752768,0.785398,30,480,180,360,360
4022.33,0,0.5,0.8,0.9,-24.8046,-0.98,2.18244,-21.4951,-1.29093,2.25531,-22.1291,-1.3269,32.5468,0,-3.7008,0,0.231052,-3.19047,-0.111175,-0,-3.14159,0.0347411,-1.4985,0,11601.5,15.6595,7.537,-8.66254,317,288,348.06,470.802,110688,3.26917e+06,2.477e+06,0,0,35,32.5468,32.5468,0.0365567,0.106375,0.471091,0,0.0347411,0.785398,30,480,180,360,360
