Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
433.89,0,0.5,0.8,0.9,-16.0582,-0.98,0,0,0,0,-18.8588,0,18.8588,0,-1.5824,0,0,-5,0,-0,-3.14159,-0,-1.5708,0,1e+06,22,1.11351,-1.11375,0,0,559.257,464.22,178773,330662,149685,0,0,35,18.8588,18.8588,0,0,0,0,-0,0.785398,30,480,170,360,370
825.88,0,0.5,0.8,0.9,-16.7335,-0.98,0.700426,-13.2133,-0.783231,0.727622,-14.1176,-0.83019,14.2261,0,-1.8352,0,0.173712,-3.5736,-0.182403,-0,-3.14159,0.0509376,-1.52222,0,449093,20.5855,4.63885,-4.64845,563,215,553.957,548.598,519167,792837,359974,0,0,35,14.2261,14.2261,0.00166083,0.0836102,0.0507708,-3.47395e-18,0.0509376,0.785398,30,480,170,360,370
1225.87,0,0.5,0.8,0.9,-17.5191,-0.98,0.707267,-13.9476,-0.805316,0.744475,-14.6168,-0.839285,15.2658,0,-2.0912,0,0.142068,-3.04664,-0.146184,-0,-3.14159,0.0478934,-1.5242,0,191035,19.3565,4.29415,-4.31354,580,242,606.771,615.781,481740,1.22432e+06,625844,0,0,35,15.2658,15.2658,0.00352408,0.0731484,0.138615,0,0.0478934,0.785398,30,480,170,360,370
1625.88,0,0.5,0.8,0.9,-18.4071,-0.98,1.25789,-14.8248,-0.859495,1.28098,-15.4043,-0.866513,17.3922,0,-2.3472,0,0.450814,-2.77218,-0.132971,-0,-3.14159,0.0473091,-1.40959,0,85003,18.3669,4.82101,-4.87632,473,263,375.177,554.549,367779,1.53445e+06,868452,0,0,35,17.3922,17.3922,0.0139484,0.1049,0.237362,0,0.0473091,0.785398,30,480,170,360,370
2025.89,0,0.5,0.8,0.9,-19.404,-0.98,1.4495,-15.8748,-0.92299,1.53357,-16.4095,-0.946132,20.8341,0,-2.6048,0,0.499346,-2.69647,-0.151419,-0,-3.14159,0.0551597,-1.38769,0,41505.6,17.5842,5.53675,-5.68851,358,248,352.645,505.686,312448,1.70518e+06,1.15899e+06,0,0,35,20.8341,20.8341,0.0217521,0.118286,0.331403,0,0.0551597,0.785398,30,480,170,360,370
2425.88,0,0.5,0.8,0.9,-20.4903,-0.98,1.86813,-16.9862,-0.932478,1.96662,-17.5246,-0.960501,24.6765,0,-2.8592,0,0.658896,-2.72173,-0.120885,-0,-3.14159,0.0431412,-1.33328,0,23661.7,16.9744,6.5543,-6.93871,308,214,255.233,412.045,347958,1.77166e+06,1.57143e+06,0,0,35,24.6765,24.6765,0.0321058,0.113698,0.426343,1.73634e-18,0.0431412,0.785398,30,480,170,360,370
2825.88,0,0.5,0.8,0.9,-21.6855,-0.98,2.20742,-18.4175,-1.14859,2.34857,-18.9708,-1.18328,28.6263,0,-3.1152,0,0.736264,-2.96344,-0.236212,-0,-3.14159,0.0772032,-1.32728,0,16341.7,16.504,7.80689,-8.6316,263,146,213.037,354.264,331637,2.00608e+06,2.00588e+06,0,0,35,28.6263,28.6263,0.0338364,0.142134,0.479744,-1.04394e-17,0.0772032,0.785398,30,480,170,360,370
3225.87,0,0.5,0.8,0.9,-22.9831,-0.98,2.40257,-19.9505,-1.21741,2.57024,-20.4996,-1.26612,31.6197,0,-3.3712,0,0.688417,-3.23145,-0.229848,-0,-3.14159,0.0694555,-1.3609,0,13338.7,16.1437,8.73859,-10.0562,246,177,181.626,418.84,347189,2.43046e+06,2.4529e+06,0,0,35,31.6197,31.6197,0.0291782,0.125692,0.478126,3.47783e-18,0.0694555,0.785398,30,480,170,360,370
3625.88,0,0.5,0.8,0.9,-24.3831,-0.98,2.32906,-21.3162,-1.30583,2.4819,-22.0014,-1.35247,33.4065,0,-3.6272,0,0.419938,-3.3152,-0.222821,-0,-3.14159,0.0665806,-1.4448,0,12106.9,15.8688,9.33511,-11.0372,260,248,251.29,485.641,232764,2.91865e+06,2.77397e+06,0,0,35,33.4065,33.4065,0.0284324,0.127781,0.434385,-3.47715e-18,0.0665806,0.785398,30,480,170,360,370
4025.88,0,0.5,0.8,0.9,-25.8952,-0.98,2.15332,-22.7901,-1.32802,2.21567,-23.4483,-1.37288,34.3896,0,-3.8848,0,0.131006,-3.41903,-0.17645,-0,-3.14159,0.0515247,-1.5325,0,11601.5,15.6595,9.28091,-11.0486,308,293,315.908,496.169,172590,3.7742e+06,3.01887e+06,0,0,35,34.3896,34.3896,0.029017,0.124434,0.378113,-3.47406e-18,0.0515247,0.785398,30,480,170,360,370
