Time,Sequence,Sim_time,mpc_dt,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_gt,v_y_gt,v_z_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
425.926,0,0.5,0.8,0.9,-25.5225,-0.98,0.803434,-22.2778,-0.902807,0,-22.3671,0,22.3671,0,-1.3952,0,0,-4,0,-0,-3.14159,-0,-1.5708,35,1e+06,22,1.11351,-1.11375,531,251,529.867,434.844,133986,149092,238574,0,0,35,22.3671,22.3671,0,0,0,0,-0,0.785398,30,480,180,360,360
825.918,0,0.5,0.8,0.9,-26.128,-0.98,0.809127,-22.5616,-0.826638,0.832929,-23.4582,-0.866025,23.5474,0,-1.6496,0,0.184053,-3.92232,-0.173614,-0,-3.14159,0.0441857,-1.52391,53.4896,446382,20.5704,2.78007,-2.78354,535,237,525.953,374.221,103022,420013,454383,0,0,35,23.5474,23.5474,0.00154156,0.0748534,0.0502084,-3.47284e-18,0.0441857,0.785398,30,480,180,360,360
1225.91,0,0.5,0.8,0.9,-26.8393,-0.98,0.941741,-23.6025,-1.0548,0.886558,-23.9918,-0.98409,24.3469,0,-1.9056,0,0.171611,-3.32365,-0.211484,-0,-3.14159,0.0634602,-1.51921,62.7772,190924,19.3485,4.0651,-4.08249,543,226,543.729,433.757,117757,617542,689230,0,0,35,24.3469,24.3469,0.00220161,0.0863054,0.0960577,0,0.0634602,0.785398,30,480,180,360,360
1625.9,0,0.5,0.8,0.9,-27.6477,-0.98,1.10645,-23.9881,-1.08352,1.13366,-24.6384,-1.1349,24.5199,0,-2.16,0,0.289362,-2.89094,-0.250129,-0,-3.14159,0.0858797,-1.47104,65.0029,85440.8,18.3641,4.57743,-4.627,523,234,467.152,447.334,88615.9,760413,904856,0,0,35,24.5199,24.5199,0.00563247,0.119075,0.168012,-3.48228e-18,0.0858797,0.785398,30,480,180,360,360
2025.92,0,0.5,0.8,0.9,-28.5632,-0.98,1.23225,-24.8788,-1.0835,1.30002,-25.5045,-1.16138,24.5194,0,-2.416,0,0.313515,-2.62002,-0.17914,-0,-3.14159,0.0677855,-1.4517,65.4846,41884.8,17.5849,4.82174,-4.93537,448,246,419.958,443.235,114570,844853,1.14575e+06,0,0,35,24.5194,24.5194,0.00923268,0.107569,0.227917,-3.47743e-18,0.0677855,0.785398,30,480,180,360,360
2425.9,0,0.5,0.8,0.9,-29.5878,-0.98,1.4281,-25.8417,-1.03188,1.49519,-26.3881,-1.05822,24.6376,0,-2.6736,0,0.363886,-2.54694,-0.07093,-0,-3.14159,0.0275622,-1.42889,65.9879,23899.7,16.977,5.02326,-5.24369,396,236,363.138,426.113,163543,918080,1.44294e+06,0,0,35,24.6376,24.6376,0.0147781,0.0747287,0.303407,-1.73538e-18,0.0275622,0.785398,30,480,180,360,360
2825.91,0,0.5,0.8,0.9,-30.7015,-0.98,1.66963,-26.9475,-0.984091,1.74811,-27.4599,-0.996599,25.3184,0,-2.928,0,0.439177,-2.61623,-0.0114685,-0,-3.14159,0.00432307,-1.40448,67.8257,16473.3,16.5077,5.39324,-5.77112,343,217,306.639,417.387,235080,1.02195e+06,1.82794e+06,0,0,35,25.3184,25.3184,0.0196839,0.0536321,0.379511,2.16842e-19,0.00432307,0.785398,30,480,180,360,360
3225.92,0,0.5,0.8,0.9,-31.9242,-0.98,2.02393,-28.2218,-0.963183,2.12396,-28.7527,-0.957107,26.5695,0,-3.184,0,0.572285,-2.78309,0.0154716,-0,-3.14159,-0.00544518,-1.36799,70.0396,13406.8,16.1477,5.81527,-6.36767,312,209,286.606,405.786,231784,1.15689e+06,2.22505e+06,0,0,35,26.5695,26.5695,0.0245096,0.0440797,0.459191,-2.16844e-19,-0.00544518,0.785398,30,480,180,360,360
3625.9,0,0.5,0.8,0.9,-33.2493,-0.98,2.24133,-29.5685,-0.946385,2.36175,-30.1664,-0.946639,27.9155,0,-3.44,0,0.570376,-2.94682,0.0200196,-0,-3.14159,-0.00666975,-1.3796,71.4791,12140.6,15.8727,6.11696,-6.80243,308,188,292.266,389.64,163898,1.2698e+06,2.56544e+06,0,0,35,27.9155,27.9155,0.0264548,0.0431147,0.488051,4.33691e-19,-0.00666975,0.785398,30,480,180,360,360
4025.9,0,0.5,0.8,0.9,-34.6768,-0.98,2.20069,-31.0453,-0.972637,2.32681,-31.6816,-0.966602,29.1439,0,-3.696,0,0.385272,-3.16902,-0.00030985,-0,-3.14159,9.70599e-05,-1.44982,71.907,11617.7,15.6632,6.25082,-7.00456,329,183,337.138,383.497,96845.2,1.45457e+06,2.8452e+06,0,0,35,29.1439,29.1439,0.024396,0.0494475,0.458749,0,9.70599e-05,0.785398,30,480,180,360,360
